,Code_(CPT/DRG),Description,Rev_Code,Inpatient/Outpatient,Gross_Charges,Discounted_Cash_Price,Aetna,Cigna,Empire_Blue_Cross_Blue_Shield,Emblem_Health,United_Health_Group,Aetna_Medicare,AgeWell_Medicare,Emblem_Medicare,Empire_Medicare,Fidelis_Medicare,Healthfirst_Medicare,UHC_Community_Plan/United_Medicare,VNS_Medicare,WellCare_Medicare,1199,Affinity_Molina_Essential,Affinity_Molina_Medicaid/CHP,Amida_Care_Medicaid,Emblem_Medicaid/CHP,Empire_Healthplus_Essential,Empire_Healthplus_Exchange,Empire_Healthplus_Medicaid/CHP,Fidelis_Essential/Exchange,Fidelis_Medicaid/CHP,Healthfirst_Essential/Exchange,Healthfirst_Medicaid/CHP,MVP_Medicaid/CHP,MVP_Essential,United_Community_Plan_Essential,United_Community_Plan_Medicaid,VNS_Medicaid,Consumer_Health_Network,Devon,Equian,First_Health,Magnacare,Multiplan/Beechstreet/PHCS,QHM,Worldwide,Minimum_Negotiated_Charge,Maximum_Negotiated_Charge
10,M0239,HC IV INFUSION BAMLANIVIMAB-XXXX,0260,Inpatient/Outpatient,1366.0,1366.0,1012.206,779.986,Not separately payable,1470.424,1092.8,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,683,773.1477801568,343.6212356252,395.164420969,395.164420969,773.1477801568,859.0530890631,343.6212356252,859.0530890631,343.6212356252,819.6,360.8022974065,343.6212356252,412.3454827503,481.0697298753,343.6212356252,343.6212356252,620.7104,620.7104,620.7104,620.7104,620.7104,620.7104,620.7104,620.7104,343.6212356252,1470.424
11,M0243,HC IV INFUSION CASIRIVIMAB AND IMDEVIMAB,0260,Inpatient/Outpatient,1366.0,1366.0,1012.206,779.986,Not separately payable,1470.424,1092.8,551.8625,689.828125,551.8625,551.8625,551.8625,568.418375,557.381125,568.418375,571.1776875,683,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,620.7104,620.7104,620.7104,620.7104,620.7104,620.7104,620.7104,620.7104,551.8625,1470.424
12,A4649,HC HYBERBARIC TUBING,0270,Inpatient/Outpatient,67.0,67.0,Not separately payable,Not separately payable,Included in Service Package,53.868,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,30.4448,30.4448,30.4448,30.4448,30.4448,30.4448,30.4448,30.4448,30.4448,53.868
13,A7015,HC RT AEROSOL MASK USED/W NEBULIZER,0270,Inpatient/Outpatient,2.0,2.0,Not separately payable,Not separately payable,Included in Service Package,1.608,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,0.9088,0.9088,0.9088,0.9088,0.9088,0.9088,0.9088,0.9088,0.9088,1.608
14,A7027,HC RT COMBINATION ORAL/NASAL MASK,0270,Inpatient/Outpatient,189.0,189.0,Not separately payable,Not separately payable,Included in Service Package,151.956,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,85.8816,85.8816,85.8816,85.8816,85.8816,85.8816,85.8816,85.8816,85.8816,151.956
15,A7028,HC RT ORAL CUSHION COMBINATION ORAL/MASK,0270,Inpatient/Outpatient,55.0,55.0,Not separately payable,Not separately payable,Included in Service Package,44.22,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,24.992,24.992,24.992,24.992,24.992,24.992,24.992,24.992,24.992,44.22
16,A7029,HC RT NASAL PILLOWS COMBIN ORAL/MASK,0270,Inpatient/Outpatient,24.0,24.0,Not separately payable,Not separately payable,Included in Service Package,19.296,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,10.9056,10.9056,10.9056,10.9056,10.9056,10.9056,10.9056,10.9056,10.9056,19.296
17,A7030,HC RT FULL FACE MASK/W POS AIRWAY,0270,Inpatient/Outpatient,150.0,150.0,Not separately payable,Not separately payable,Included in Service Package,120.6,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,68.16,68.16,68.16,68.16,68.16,68.16,68.16,68.16,68.16,120.6
18,A7031,HC RT REPLACEMENT FACEMASK INTERFACE,0270,Inpatient/Outpatient,58.0,58.0,Not separately payable,Not separately payable,Included in Service Package,46.632,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,26.3552,26.3552,26.3552,26.3552,26.3552,26.3552,26.3552,26.3552,26.3552,46.632
19,A7032,HC RT CUSHION/NASAL MASK INTERFACE,0270,Inpatient/Outpatient,33.0,33.0,Not separately payable,Not separately payable,Included in Service Package,26.532,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,14.9952,14.9952,14.9952,14.9952,14.9952,14.9952,14.9952,14.9952,14.9952,26.532
20,A7034,HC RT NASAL INTERFACE (MASK),0270,Inpatient/Outpatient,91.0,91.0,Not separately payable,Not separately payable,Included in Service Package,73.164,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,41.3504,41.3504,41.3504,41.3504,41.3504,41.3504,41.3504,41.3504,41.3504,73.164
21,A7525,HC RT TRACHEOSTOMY MASK,0270,Inpatient/Outpatient,3.0,3.0,Not separately payable,Not separately payable,Included in Service Package,2.412,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,1.3632,1.3632,1.3632,1.3632,1.3632,1.3632,1.3632,1.3632,1.3632,2.412
22,V2787,HC PATIENT RESPONSIBILITY ASTIGMATISM CORRECTING IOL,0274,Inpatient/Outpatient,762.0,762.0,274.32,274.32,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,346.2528,346.2528,346.2528,346.2528,346.2528,346.2528,346.2528,346.2528,274.32,346.2528
23,V2788,HC PATIENT RESPONSIBILITY PRESBYOPIA CORRECTING IOL,0274,Inpatient/Outpatient,1245.0,1245.0,448.2,448.2,Not separately payable,358.56,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,565.728,565.728,565.728,565.728,565.728,565.728,565.728,565.728,358.56,565.728
24,C1715,HC RT NEEDLE FOR PROSTATE BRACHYTX,0278,Inpatient/Outpatient,412.0,412.0,148.32,148.32,148.32,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,187.2128,187.2128,187.2128,187.2128,187.2128,187.2128,187.2128,187.2128,148.32,187.2128
25,C1717,HC BRACHYTX SOURCE N-S HDR IRIDIUM-192 PER SOURCE,0278,Inpatient/Outpatient,221.0,221.0,79.56,79.56,79.56,Not separately payable,Not separately payable,335.71,419.6375,335.71,335.71,335.71,345.7813,339.0671,345.7813,347.45985,Not separately payable,2406.762684,1069.672304,1230.1231496,1230.1231496,2406.762684,2674.18076,1069.672304,2674.18076,1069.672304,132.6,1123.1559192,1069.672304,1283.6067648,1497.5412256,1069.672304,1069.672304,100.4224,100.4224,100.4224,100.4224,100.4224,100.4224,100.4224,100.4224,79.56,2674.18076
26,C1719,HC BRACHYTX SOURCE NON-HDR IRIDIUM-192,0278,Inpatient/Outpatient,108.0,108.0,38.88,38.88,38.88,Not separately payable,Not separately payable,345.84,432.3,345.84,345.84,345.84,356.2152,349.2984,356.2152,357.9444,Not separately payable,2406.762684,1069.672304,1230.1231496,1230.1231496,2406.762684,2674.18076,1069.672304,2674.18076,1069.672304,64.8,1123.1559192,1069.672304,1283.6067648,1497.5412256,1069.672304,1069.672304,49.0752,49.0752,49.0752,49.0752,49.0752,49.0752,49.0752,49.0752,38.88,2674.18076
27,C2616,HC BRACHYTX SOURCE N-S YTTRIUM-90 PER SOURCE,0278,Inpatient/Outpatient,40879.0,40879.0,14716.44,14716.44,14716.44,11773.152,Not separately payable,17609.76,22012.2,17609.76,17609.76,17609.76,18138.0528,17785.8576,18138.0528,18226.1016,Not separately payable,32903.000919,14623.555964,16817.0893586,16817.0893586,32903.000919,36558.88991,14623.555964,36558.88991,14623.555964,24527.4,15354.7337622,14623.555964,17548.2671568,20472.9783496,14623.555964,14623.555964,18575.4176,18575.4176,18575.4176,18575.4176,18575.4176,18575.4176,18575.4176,18575.4176,11773.152,36558.88991
28,C2634,HC BRACHYTX SOURCE N-S HA IODINE-125 2.0-3.0MCI,0278,Inpatient/Outpatient,725.0,725.0,261,261,261,Not separately payable,Not separately payable,182,227.5,182,182,182,187.46,183.82,187.46,188.37,Not separately payable,3304.19909925,1468.532933,1688.81287295,1688.81287295,3304.19909925,3671.3323325,1468.532933,3671.3323325,1468.532933,435,1541.95957965,1468.532933,1762.2395196,2055.9461062,1468.532933,1468.532933,329.44,329.44,329.44,329.44,329.44,329.44,329.44,329.44,182.0,3671.3323325
29,C2638,HC BRACHYTX SOURCE STRANDED IODINE-125,0278,Inpatient/Outpatient,83.0,83.0,29.88,29.88,29.88,Not separately payable,Not separately payable,38.15,47.6875,38.15,38.15,38.15,39.2945,38.5315,39.2945,39.48525,Not separately payable,2406.762684,1069.672304,1230.1231496,1230.1231496,2406.762684,2674.18076,1069.672304,2674.18076,1069.672304,49.8,1123.1559192,1069.672304,1283.6067648,1497.5412256,1069.672304,1069.672304,37.7152,37.7152,37.7152,37.7152,37.7152,37.7152,37.7152,37.7152,29.88,2674.18076
30,C2639,HC BRACHYTX SOURCE N-S IODINE-125 PER SOURCE,0278,Inpatient/Outpatient,83.0,83.0,29.88,29.88,29.88,Not separately payable,Not separately payable,35.31,44.1375,35.31,35.31,35.31,36.3693,35.6631,36.3693,36.54585,Not separately payable,2406.762684,1069.672304,1230.1231496,1230.1231496,2406.762684,2674.18076,1069.672304,2674.18076,1069.672304,49.8,1123.1559192,1069.672304,1283.6067648,1497.5412256,1069.672304,1069.672304,37.7152,37.7152,37.7152,37.7152,37.7152,37.7152,37.7152,37.7152,29.88,2674.18076
31,C2641,HC BRACHYTX SOURCE N-S PALLADIUM-103 PER SOURCE,0278,Inpatient/Outpatient,142.0,142.0,51.12,51.12,51.12,Not separately payable,Not separately payable,80.99,101.2375,80.99,80.99,80.99,83.4197,81.7999,83.4197,83.82465,Not separately payable,3304.19909925,1468.532933,1688.81287295,1688.81287295,3304.19909925,3671.3323325,1468.532933,3671.3323325,1468.532933,85.2,1541.95957965,1468.532933,1762.2395196,2055.9461062,1468.532933,1468.532933,64.5248,64.5248,64.5248,64.5248,64.5248,64.5248,64.5248,64.5248,51.12,3671.3323325
32,C2642,HC BRACHYTX SOURCE STRANDED CESIUM-131 PER SOURCE,0278,Inpatient/Outpatient,153.0,153.0,55.08,55.08,55.08,Not separately payable,Not separately payable,90.73,113.4125,90.73,90.73,90.73,93.4519,91.6373,93.4519,93.90555,Not separately payable,3304.19909925,1468.532933,1688.81287295,1688.81287295,3304.19909925,3671.3323325,1468.532933,3671.3323325,1468.532933,91.8,1541.95957965,1468.532933,1762.2395196,2055.9461062,1468.532933,1468.532933,69.5232,69.5232,69.5232,69.5232,69.5232,69.5232,69.5232,69.5232,55.08,3671.3323325
33,C2643,HC BRACHYTX SOURCE N-S CESIUM-131 PER SOURCE,0278,Inpatient/Outpatient,180.0,180.0,64.8,64.8,64.8,Not separately payable,Not separately payable,81.52,101.9,81.52,81.52,81.52,83.9656,82.3352,83.9656,84.3732,Not separately payable,3304.19909925,1468.532933,1688.81287295,1688.81287295,3304.19909925,3671.3323325,1468.532933,3671.3323325,1468.532933,108,1541.95957965,1468.532933,1762.2395196,2055.9461062,1468.532933,1468.532933,81.792,81.792,81.792,81.792,81.792,81.792,81.792,81.792,64.8,3671.3323325
34,36415,HC LAB ROUTINE VENIPUNCTURE,0300,Inpatient/Outpatient,36.0,36.0,26.676,1.365,2.1,5.999,3.6,8.57,10.7125,8.57,8.57,8.57,8.8271,8.6557,8.8271,8.86995,18,253.782819,112.792364,129.7112186,129.7112186,253.782819,281.98091,112.792364,281.98091,112.792364,21.6,118.4319822,112.792364,135.3508368,157.9093096,112.792364,112.792364,16.3584,16.3584,16.3584,16.3584,16.3584,16.3584,16.3584,16.3584,1.365,281.98091
35,38207,HC LAB CRYOPRESERVATION PERIPHERAL STEM CELLS,0300,Inpatient/Outpatient,9322.0,9322.0,6907.602,5322.862,Not separately payable,349.645625,7457.6,499.49375,624.3671875,499.49375,499.49375,499.49375,514.4785625,504.4886875,514.4785625,516.97603125,4661,4815.3419754286,2140.1519890794,2461.1747874413,2461.1747874413,4815.3419754286,5350.3799726985,2140.1519890794,5350.3799726985,2140.1519890794,5593.2,2247.1595885334,2140.1519890794,2568.1823868953,2996.2127847111,2140.1519890794,2140.1519890794,4235.9168,4235.9168,4235.9168,4235.9168,4235.9168,4235.9168,4235.9168,4235.9168,349.645625,7457.6
36,38210,HC LAB STEM CELL T-CELL DEPLETION,0300,Inpatient/Outpatient,28151.0,28151.0,20859.891,16074.221,Not separately payable,349.645625,22520.8,499.49375,624.3671875,499.49375,499.49375,499.49375,514.4785625,504.4886875,514.4785625,516.97603125,14075.5,4815.3419754286,2140.1519890794,2461.1747874413,2461.1747874413,4815.3419754286,5350.3799726985,2140.1519890794,5350.3799726985,2140.1519890794,16890.6,2247.1595885334,2140.1519890794,2568.1823868953,2996.2127847111,2140.1519890794,2140.1519890794,12791.8144,12791.8144,12791.8144,12791.8144,12791.8144,12791.8144,12791.8144,12791.8144,349.645625,22520.8
37,38211,HC TRANSPLANT PREP PROGENITOR TUMOR CELL DEPLETION,0300,Inpatient/Outpatient,28151.0,28151.0,20859.891,16074.221,Not separately payable,349.645625,22520.8,499.49375,624.3671875,499.49375,499.49375,499.49375,514.4785625,504.4886875,514.4785625,516.97603125,14075.5,4815.3419754286,2140.1519890794,2461.1747874413,2461.1747874413,4815.3419754286,5350.3799726985,2140.1519890794,5350.3799726985,2140.1519890794,16890.6,2247.1595885334,2140.1519890794,2568.1823868953,2996.2127847111,2140.1519890794,2140.1519890794,12791.8144,12791.8144,12791.8144,12791.8144,12791.8144,12791.8144,12791.8144,12791.8144,349.645625,22520.8
38,38212,HC LAB STEM CELL RED BLOOD CELL REMOVAL,0300,Inpatient/Outpatient,3613.0,3613.0,2677.233,2063.023,Not separately payable,349.645625,2890.4,499.49375,624.3671875,499.49375,499.49375,499.49375,514.4785625,504.4886875,514.4785625,516.97603125,1806.5,1397.6615293039,621.1829019129,714.3603371998,714.3603371998,1397.6615293039,1552.9572547822,621.1829019129,1552.9572547822,621.1829019129,2167.8,652.2420470085,621.1829019129,745.4194822954,869.656062678,621.1829019129,621.1829019129,1641.7472,1641.7472,1641.7472,1641.7472,1641.7472,1641.7472,1641.7472,1641.7472,349.645625,2890.4
39,38214,HC LAB STEM CELL VOLUME REDUCTION,0300,Inpatient/Outpatient,3938.0,3938.0,2918.058,2248.598,Not separately payable,349.645625,3150.4,499.49375,624.3671875,499.49375,499.49375,499.49375,514.4785625,504.4886875,514.4785625,516.97603125,1969,4815.3419754286,2140.1519890794,2461.1747874413,2461.1747874413,4815.3419754286,5350.3799726985,2140.1519890794,5350.3799726985,2140.1519890794,2362.8,2247.1595885334,2140.1519890794,2568.1823868953,2996.2127847111,2140.1519890794,2140.1519890794,1789.4272,1789.4272,1789.4272,1789.4272,1789.4272,1789.4272,1789.4272,1789.4272,349.645625,5350.3799726985
40,81170,HC LAB BCR-ABL1 GENE ANALYSIS TYROSINE KINASE,0300,Inpatient/Outpatient,2781.0,2781.0,210,252.658,210,210,395.41,300,375,300,300,300,309,303,309,310.5,1390.5,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,1263.6864,1263.6864,1263.6864,1263.6864,1263.6864,1263.6864,1263.6864,1263.6864,210.0,1390.5
41,81259,HC LAB HBA1/HBA2 GENE ANALYSIS FULL GENE SEQUENCE,0300,Inpatient/Outpatient,1470.0,1470.0,420,505.323,420,420,720,600,750,600,600,600,618,606,618,621,735,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,667.968,667.968,667.968,667.968,667.968,667.968,667.968,667.968,420.0,750.0
42,81370,HC LAB HLA CLASS 1&2 TYPING LOW RESOLUTION,0300,Inpatient/Outpatient,2663.0,2663.0,281.484,338.632,281.484,281.484,658.32,402.12,502.65,402.12,402.12,402.12,414.1836,406.1412,414.1836,416.1942,1331.5,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,1210.0672,1210.0672,1210.0672,1210.0672,1210.0672,1210.0672,1210.0672,1210.0672,281.484,1331.5
